File,Class,ENN_misrate,PortTest_UGT_C
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,BENIGN,0.000246,0.336693
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,DDoS,0.000117,0.0
Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,BENIGN,5.5e-05,0.471455
Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,PortScan,0.000101,0.008029
Friday-WorkingHours-Morning.pcap_ISCX.csv,BENIGN,0.000651,0.505128
Friday-WorkingHours-Morning.pcap_ISCX.csv,Bot,0.054425,0.0
Monday-WorkingHours.pcap_ISCX.csv,BENIGN,0.0,0.420865
Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,BENIGN,1.4e-05,0.355167
Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,Infiltration,0.555556,0.0
Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,BENIGN,4.2e-05,0.485147
Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,Web Attack � Brute Force,0.105508,0.0
Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,Web Attack � Sql Injection,0.714286,0.0
Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,Web Attack � XSS,0.5,0.0
Tuesday-WorkingHours.pcap_ISCX.csv,BENIGN,7.4e-05,0.462074
Tuesday-WorkingHours.pcap_ISCX.csv,FTP-Patator,0.00126,0.0
Tuesday-WorkingHours.pcap_ISCX.csv,SSH-Patator,0.005087,0.0
Wednesday-workingHours.pcap_ISCX.csv,BENIGN,0.000409,0.460813
Wednesday-workingHours.pcap_ISCX.csv,DoS GoldenEye,0.002817,0.0
Wednesday-workingHours.pcap_ISCX.csv,DoS Hulk,0.000164,0.0
Wednesday-workingHours.pcap_ISCX.csv,DoS Slowhttptest,0.006547,0.0
